,book title,ratings,avg_score,author,score,votes
2360,Watch City: Waltham Watch,25,4.12,Jessica Lucci,"100,",1
2361,"Vantage Point (The Point Series, #2)",5,4.40,Georgia Hamilton,"100,",1
2362,"Afraid to Fall (Ancient Passages, #1)",79,4.11,Sutton Bishop,"100,",1
2363,The Truth About Adira,7,4.86,Anna  Paulsen,"100,",1
2364,She Fell In Love With A Vicious Man,9,4.67,Tafiska Nyasulu Ndovi,"100,",1
2365,Soul Bound to Scotland,avg,it,R.L. Dubbert,"100,",1
2366,Luna and Sol,51,4.47,A.M. Kusi,"100,",1
2367,Melt,11,4.09,L.M. Kennedy,"100,",1
2368,Shriek,20,3.95,Jennifer M. Barry,"100,",1
2369,"All of Me (Confessions of the Heart, #2)","3,935",4.33,A.L. Jackson,"100,",1
2370,"Until You Loved Me: An Interracial, Billionaire Romance",136,4.11,Yuwanda Black,"100,",1
2371,أغنية داليدا الاخيرة,21,3.95,Basma aboelazm,"100,",1
2372,"Seven Sisters (The Bride Lottery, #1)",avg,it,Caty Callahan,"100,",1
2373,Dreaming of Dray: Billionaire Dray Royce Series #1,45,3.67,Sheila Murdock,"100,",1
2374,"Can't Let Go (Georgia Boys, #1)",74,3.69,Chrissy Brown,"100,",1
2375,Heartbreak Warfare,"8,402",4.46,Heather M. Orgeron,"100,",1
2376,"Forged in Steele (KGI, #7)","13,243",4.29,Maya Banks,"100,",1
2377,Cards of Love: Knight of Swords,638,4.51,Autumn Jones Lake,"100,",1
2378,The Prince of Manhattan,20,3.95,Alexei Iskander,"100,",1
2379,Lies of Gold,avg,it,Jan Selbourne,"100,",1
2380,"Royally Entangled (Her Royal Harem, #1)","1,766",3.81,Catherine  Banks,"100,",1
2381,If it Weren't for You,61,4.57,Dorothea Neamonitos,"100,",1
2382,Nothing More to Take (Give & Take Duet #1),36,4.14,Demetra Georgiou,"100,",1
2383,Pastoral,"1,514",4.04,Nevil Shute,"100,",1
2384,"The Inside Track (License to Love, #2)",57,4.16,Tamsen Parker,"100,",1
2385,"Oppressed and Empowered: The Viscount's Capable Wife (Love's Second Chance: Tales of Damsels and Knights, #5)","1,141",4.11,Bree Wolf,"100,",1
2386,All For Love: on the charity dating show I: the early episodes,6,4.17,Cecelia Hopkins-Drewer,"100,",1
2387,Oliver and Erica: When Friends Become Lovers,26,4.19,Desiree Span,"100,",1
2388,Wilhelm,rating,liked,F. Vawters McCloud,"100,",1
2389,The Forbidden Affairs Of Eva:: What would you do if your one night stand turned out to be your boss?,7,4.86,Isabella Skye,"100,",1
2390,"Only You (Duke of Rutland, #3)",147,4.10,Elizabeth St. Michel,"100,",1
2391,"Olivia And Jai (Olivia and Jai, #1)","1,227",4.13,Rebecca Ryman,"100,",1
2392,Girl at Dawn: 黎明女,9,4.22,J.J. Chen Henderson,"100,",1
2393,Deliciously Sinful Liaisons,155,4.52,L.M. Mountford,"100,",1
2394,"The Spark (The Carolina Connections, #2)","1,714",4.29,Sylvie Stewart,"100,",1
2395,The Lord Poet,30,4.67,Megan Franks,"100,",1
2396,Dream you,14,3.93,Saniya S. Kohari,"100,",1
2397,Meant To Be Together,97,4.09,Faraaz Kazi,"100,",1
2398,The Truth About Us,259,4.03,R.C. Stephens,"100,",1
2399,"Eversea (Butler Cove, #1)","15,395",4.04,Natasha Boyd,"100,",1
2400,"Savage Grace (Savage, #13)",216,4.32,Cassie Edwards,"100,",1
2401,"Outcast (Wiltshire University, #1)",194,4.11,Lucie V. Ande,"100,",1
2402,Broken Justice,"2,751",3.93,Suzanne Halliday,"100,",1
2403,A Pause in Eternity,10,4.20,Rolando G. Candanosa,"100,",1
2404,The Vacation,13,3.46,L.J. Jade,"100,",1
2405,Even Wilder,23,3.26,Bria Leigh,"100,",1
2406,"Leopard's Blood (Leopard People, #9)","3,579",4.29,Christine Feehan,"100,",1
2407,Pandora Syndrome,7,4.14,April Wahlin,"100,",1
2408,Remnants of You (BFF #3),47,4.45,Kyra Fox,"100,",1
2409,The One Reason,rating,liked,Odile Rose,"100,",1
2410,The Famous Flower of Serving Men,8,4.50,Rachel McDonough,"100,",1
2411,Kiss and Consume,28,4.36,Lynelle Barrett,"100,",1
2412,Angel on My Mind,4,4.25,Shirley Wiggerman,"100,",1
2413,Etched in Stone (Invested in You Book 1),204,4.05,Liv Arnold,"100,",1
2414,Coming Together (Johnson Road #1),29,4.07,Fearne Hill,"100,",1
2415,Romantic Guerrilla,21,3.90,D.S.   Kumar,"100,",1
2416,Menfreya in the Morning,"3,451",3.89,Victoria Holt,"100,",2
2417,"Laces (Boys of Hawthorne Asylum, #1)","3,193",3.86,Tempi Lark,"100,",1
2418,"Heart and Seoul (The Seoul Series, #1)",200,3.98,Erin Kinsella,"100,",1
2419,Inferno (Dark Kings #18),"1,047",4.61,Donna Grant,"100,",1
2420,"A BET ON A HEART (THE TRUE LOVE SERIES, #1).",avg,really,Alpana Gupta,"100,",1
2421,Salt+Stilettos,72,4.60,Janet Walden-West,"100,",1
2422,Out of Control,0,0.00,Julie Hoag,"100,",1
2423,"Inevitable (Stonewood Brothers, #1)","6,334",3.75,Shain Rose,"100,",1
2424,The Hospice,10,4.30,Heidi Lewis,"100,",1
2425,Beige and Blue,55,4.18,Sara Badawieh,"100,",1
2426,A Marriage Knot,822,4.10,Shobana Mahadevan,"100,",1
2427,"Feather (Angels of Elysium, #1)","6,960",4.02,Olivia Wildenstein,"100,",1
2428,"The Witch of the Prophecy (The Prophecy Trilogy, #1)",133,4.10,Victoria Jayne,"100,",1
2429,Wild Hearts: A Mermaid Romance (Mermaids of Cornwall Book 1),209,4.01,Amaya Hart,"100,",1
2430,Once and Future Wife,56,4.18,Clarissa Kae,"100,",1
2431,The Road to Narrow Gate,avg,it,Spring Dalton,"100,",1
2432,"Enter the Black Oak (Black Oak, #1)","1,508",4.21,Monique Edenwood,"100,",1
2433,New Celestial : A teen paranormal romance series (The Celestial Series Book 1),15,4.60,Lisa Champagne,"100,",1
2434,Kiss the Darkness,11,4.55,Chance McGinnis,"100,",1
2435,"The Stopover (The Miles High Club, #1)","102,611",4.08,T.L. Swan,"100,",1
2436,Royal Werelock Breeding,33,2.70,R. Nightingale,"100,",1
2437,Work For Me,227,3.74,R.M Stones,"100,",1
2438,Gravity,925,4.08,Lauren Runow,"100,",1
2439,Enthrall Sessions (8 Book Series),16,4.69,Vanessa Fewings,"100,",1
2440,Something About You (Romance Serial Novel Book 1),avg,it,Fey Morano,"100,",1
2441,Love Letters from Montmartre: A Novel,"2,178",3.78,Nicolas Barreau,"100,",1
2442,"Night Kissed (Chosen Vampire Slayer, #1)",750,3.85,Mila Young,"100,",1
2443,A Tempestuous Affair,9,4.44,Harriet Bennett,"100,",1
2444,The Pull of the Stars,"70,739",3.97,Emma Donoghue,"100,",1
2445,Secret Desires,9,3.11,J.L. Regen,"100,",1
2446,Jugnu,203,4.36,Ruchi Singh,"100,",1
2447,Tears of a Cowgirl,37,4.30,Jupiter Rose,"100,",1
2448,"Taste for Coffee (Taste for Love, #1)",39,4.13,Francine Beaton,"100,",1
2449,"The Knockout Rule (Showmen, #4)",796,3.87,Kelly Siskind,"100,",1
2450,Forever After All,"19,179",4.05,Catharina Maura,"100,",1
2451,"The Last Lumenian (The Last Lumenian, #1)","4,223",4.27,S.G. Blaise,"100,",1
2452,With Every Sunset,avg,it,Jane S. Lake,"100,",1
2453,Fireflies and Chocolate,51,4.59,Ailish Sinclair,"100,",1
2454,Hothouse Flower (Calloway Sisters #2),"45,239",4.31,Krista Ritchie,"100,",1
2455,Stone Heart  (Ailigh Wars Saga #1),22,4.50,Peter J. Merrigan,"100,",1
2456,Acts of Closure,39,4.44,N.T.  Anderson,"100,",1
2457,The Impossible Last Request,avg,it,Andy Vaughan,"100,",1
2458,"Born in Fire (Fire and Ice Trilogy, #1; Demon Days, Vampire Nights, #1)","29,162",4.17,K.F. Breene,"100,",1
2459,Lost Love's Return,550,4.32,Alfred Nicols,"100,",1
2460,"She is Awesome (She is, #1)",3,4.67,Suzanna Stone,"100,",1
2461,Innocent Love - The Beginning,3,2.33,Missi Angel,"100,",1
2462,NOAH True Love Never Dies,5,4.60,Carol D. Mitchell,"100,",1
2463,Irresistible in Idaho (At the Altar #15.5),155,4.49,Keira K. Barton,"100,",1
2464,"Nine Minutes (Nine Minutes, #1)","18,410",4.36,Beth Flynn,"100,",1
2465,Deadlocked Desires,29,4.07,Ash   Johnson,"100,",1
2466,Beautifully Redeemed,22,4.73,Kat Warren,"100,",1
2467,Redemption,18,4.44,Victoria  Price,"100,",1
2468,The Sea of Zemira (The Zemiran Chronicles #1),132,3.99,D.L. Blade,"100,",1
2469,"Magnetic Reverie (The Reverie, #1)",158,4.28,Nico J. Genes,"100,",1
2470,Jazmin and Darryon's Story,avg,it,Sylvester Murray,"100,",1
2471,After the Morning After,376,4.34,Tatum James,"100,",1
2472,Never Now,24,4.25,Lindsay Dee,"100,",1
2473,Letters From 1969: A Time Travel Romance,46,4.43,Arthur Archambeau,"100,",1
2474,Gingerbread Men and Toad’s Wart,13,3.77,Daniel Kamin,"100,",1
2475,"Dating Dr. Dil (If Shakespeare Was an Auntie, #1)","40,224",3.68,Nisha Sharma,"100,",1
2476,"Journeys (The Archers of Saint Sebastian, #1)",165,4.70,Jeanne Roland,"100,",1
2477,"Στη Φωτιά της Επανάστασης (Η Τριλογία της Επανάστασης, #1)",avg,really,Έλσα Σπανού,"100,",1
2478,Whisper,"1,451",4.69,Tal Bauer,"100,",1
2479,"Simply You (Hope Valley, #1)",51,3.73,Maggie Wild,"100,",1
2480,Tender Wings of Desire,681,2.79,Harland Sanders,"100,",1
2481,Up For Air,171,4.33,Christina  Berry,"100,",1
2482,"Deadly Illusion (Secrets and the City, #1)","5,177",3.85,Kathy Lockheart,"100,",1
2483,Where the Sun Forever Reigns,9,4.56,Circe R.K.,"100,",1
2484,Far From You,"15,154",4.05,Tess Sharpe,"100,",1
2485,"Splitterherz (Splitterherz, #1)","2,207",3.57,Bettina Belitz,"100,",1
2486,"Ruining Her (McKinley Ranch Duet, #1)",903,4.35,Kylie Kent,"100,",1
2487,Poemas Destruídos,avg,it,Gabriel F. Passos,"100,",1
2488,Trading Places,avg,it,Emily Duvall,"100,",1
2489,Rat-a-tat-tat,13,4.85,Katherine Black,"100,",1
2490,I Kissed Shara Wheeler,avg,really,Casey McQuiston,"100,",1
2491,Wild Souls,119,4.17,Faith  Prince,"100,",1
2492,The Stars in Their Eyes,53,4.30,Kristy  Gardner,"100,",1
2493,"Pretend You're Mine (Benevolence, #1)","31,530",4.29,Lucy Score,"100,",1
2494,Not in Search of Love,35,4.43,Kashish  Aggarwal,"100,",1
2495,My Heart to Fear,185,3.89,Lulu Astor,"100,",1
2496,Irreversible Decision (The Billionaire's Takeover Series),46,3.93,Heidi Stark,"100,",1
2497,"The Ex Hex (The Ex Hex, #1)","132,756",3.53,Erin Sterling,"100,",1
2498,Operation Woo Daisy Ellis,13,4.85,Jane E. Wolfe,"100,",1
2499,Heart Wreck,13,4.69,Melinda Hazen,"100,",1
2500,Christmas at the Saporis (Sherlock Holmes and Irene Adler Mysteries Book 2),avg,it,KD Sherrinford,"100,",1
2501,Sweet Disgrace,772,3.55,Cherrie Lynn,"99,",2
2502,A Crimson Frost,"2,470",4.19,Marcia Lynn McClure,"99,",1
2503,A Room with a View / Howards End,"2,951",4.11,E.M. Forster,"99,",2
2504,The Crossroads Cafe,"4,666",3.85,Deborah Smith,"99,",2
2505,Tryst #1,229,3.39,Ella Steele,"99,",1
2506,Summer Sisters,"96,088",3.85,Judy Blume,"99,",1
2507,"Fatal Shadows / A Dangerous Thing (The Adrien English Mysteries, #1-2)","1,942",4.36,Josh Lanyon,"99,",1
2508,La Nuit des temps,"11,385",4.07,René Barjavel,"99,",1
2509,"Love Lines (Love Lines, #1)",112,4.01,Diana Nixon,"99,",1
2510,The Saint and the Sinner,316,3.54,Barbara Cartland,"99,",1
2511,"Dead Beautiful (Dead Beautiful, #1)","12,882",3.96,Yvonne Woon,"99,",1
2512,"Falling Stars (Falling Stars, #1)","5,607",3.90,Sadie Grubor,"99,",1
2513,"How the Marquess Was Won (Pennyroyal Green, #6)","7,020",4.08,Julie Anne Long,"99,",2
2514,Hands On Me,14,4.43,Kim Carmichael,"99,",1
2515,With You Beside Me: A Coulter Family Double (Kendrick/Coulter/Harrigan #2-3),186,4.39,Catherine Anderson,"99,",1
2516,"The End of Me (The Single Lady Spy, #1)","2,103",4.11,Tara Brown,"99,",1
2517,The Bridle Path,43,3.72,Julia Hughes,"99,",1
2518,The Blue Lawn,166,3.62,William  Taylor,"99,",1
2519,"A Royal Pain (Unruly Royals, #1)","2,432",3.31,Megan Mulry,"99,",1
2520,That First Kiss (Night Calls #2),"1,293",3.81,J.C. Valentine,"99,",1
2521,Just Perfect! (Persaud Girl #2),avg,really,Teisha Mott,"99,",1
2522,"Anna and the Duke (The MacLaughlins, #1)","1,031",3.78,Kathryn Smith,"99,",1
2523,"Learning to Trust (Learning, #1)",380,3.88,Cynthia P. O'Neill,"99,",1
2524,"Men of Steel (Men of Steel, #1.1)","2,174",3.98,M.J. Fields,"99,",1
2525,"Laid Bare (Brown Family, #1)","13,524",3.90,Lauren Dane,"99,",1
2526,Stately Pleasures,265,3.74,Lucy Felthouse,"99,",1
2527,"Good Girl Gone Bad (Hot Cops, #1)",761,3.76,Karin Tabke,"99,",1
2528,"Betting on You (Danvers, #4.5)","1,945",3.95,Sydney Landon,"99,",1
2529,Silken Images,6,4.17,Jennifer Larmar,"99,",1
2530,Haveli,394,3.70,Zeenat Mahal,"99,",1
2531,"To Have (The Dumont Diaries, #1)","3,919",3.78,Alessandra Torre,"99,",1
2532,Vow Unbroken (Texas Romance #1),193,4.23,Caryl McAdoo,"99,",1
2533,He Followed Me Home,68,4.41,Nicole Sturgill,"99,",1
2534,Offbeat Love Stories and More,91,3.63,Jennifer K. Lafferty,"99,",1
2535,"Rubenesque Rapture (The Endurers, #1)",162,3.41,Rose Wynters,"99,",1
2536,The Untamed Bride (Black Cobra Quartet #1),"4,401",3.82,Stephanie Laurens,"99,",1
2537,"Laying a Foundation (Love Under Construction, #1)",342,4.23,Deanndra Hall,"99,",1
2538,Tempest,18,4.50,Chantilly White,"99,",1
2539,Our Everything,7,3.57,Michelle Jane,"99,",1
2540,"The Heart's Game (Kelly Brothers, #4)",424,3.92,Crista McHugh,"99,",1
2541,The Rock Orchard: A Novel,"1,179",3.85,Paula Wall,"99,",1
2542,"I Want to Hold Your Hand (Green Mountain, #2)","4,757",4.27,Marie Force,"99,",1
2543,Ride for a Cure,21,4.52,N.C. Winters,"99,",1
2544,"Mr. Cavendish, I Presume (Two Dukes of Wyndham, #2)","16,312",3.60,Julia Quinn,"99,",2
2545,"What Lies Inside (Blood Bound, #1)",467,4.02,J.L. Myers,"99,",1
2546,"Possession of My Soul (The Three Immortal Blades, #1)","2,287",3.52,Kia Carrington-Russell,"99,",1
2547,"Complete Surrender (LaCasse, #3)",52,4.60,Ju Ephraime,"99,",1
2548,"Just Human (Just Human, #1)","1,752",3.88,Kerry Heavens,"99,",1
2549,Eternally and Evermore,5,4.80,Marc Nobbs,"99,",1
2550,Belfast Girls,359,3.38,Gerry McCullough,"99,",1
2551,"Chop, Chop (Chop, Chop, #1)","3,008",4.05,L.N. Cronk,"99,",1
2552,The White Rose,avg,really,Mary Ann Cook,"99,",1
2553,Tressa,42,3.95,Barbara T. Cerny,"99,",1
2554,Instinctual Book 1,58,3.45,Amanda Mackey,"99,",1
2555,Frozen Pulses Flutter,8,4.38,Brandy D. Anderson,"99,",1
2556,Agnes Grey,"64,058",3.70,Anne Brontë,"99,",1
2557,What If,"8,142",3.90,Rebecca    Donovan,"99,",1
2558,Moonstone Obsession,324,4.10,Elizabeth Ellen Carter,"99,",1
2559,"Rival Love (Rival Love, #1)",827,3.82,Natalie Decker,"99,",1
2560,Stolen Breaths (Stolen Breaths #1),619,3.69,Pamela Sparkman,"99,",1
2561,"The Game (deWarenne Dynasty, #3)","1,581",3.96,Brenda Joyce,"99,",1
2562,Her Master's Heart,484,3.57,Lawrence Southwick,"99,",1
2563,Beach Bum Billionaire,89,3.73,Jill Lang,"99,",1
2564,Suspicious Minds,14,4.21,Kim Cox,"99,",1
2565,"Burning Moon (Destination Love, #1)","2,980",4.06,Jo Watson,"99,",1
2566,"Shades of Obsession (Obsession, #1)",130,3.91,J.R.  King,"99,",1
2567,"Night of Cake and Puppets (Daughter of Smoke & Bone, #2.5)","20,161",4.29,Laini Taylor,"99,",2
2568,Hotel on the Corner of Bitter and Sweet,"287,938",4.03,Jamie Ford,"99,",1
2569,"Chasing Tail (Quick & Furry, #1)","2,022",3.92,Celia Kyle,"99,",1
2570,Gone Too Far,"3,685",3.82,Natalie D. Richards,"99,",1
2571,"Breathe In (Just Breathe, #1)",153,3.72,Martha Sweeney,"99,",1
2572,Tiger Lily,"26,899",3.96,Jodi Lynn Anderson,"99,",1
2573,"Hollywood Bound (Gin & Jazz, #1)",36,3.83,Morticia Knight,"99,",1
2574,Taken By The Huntsman,213,3.71,Mistral Dawn,"99,",1
2575,A Diamond in the Rough (Diamond in the Rough series book 1),110,4.25,Elisa Marie Hopkins,"99,",1
2576,Justifying Jack,63,4.10,J.M. Northup,"99,",1
2577,"Taking Chances (Donnelley Brothers, #3)",86,4.23,Alannah Carbonneau,"99,",1
2578,When Love Meets Mr. Lust,9,3.44,Mathilda Maldita,"99,",1
2579,"A Tale of Struggle, Success, and Love (Erotic Spanking stories #1)",avg,it,Stephanie Rose,"99,",1
2580,Last Resort (Grayton #1),"1,992",3.88,Jill Sanders,"99,",1
2581,٥٥ مشكلة حب,"7,929",3.41,مصطفى محمود,"99,",1
2582,The Maverick's Red Hot Reunion,105,3.77,Christine Glover,"99,",1
2583,"Welcome, Reluctant Stranger (Between Two Worlds, #3)",46,4.07,E. Journey,"99,",1
2584,Private Scandals,"9,031",3.97,Nora Roberts,"99,",1
2585,Love Of Country (Country Love #3),377,4.32,Vicki Green,"99,",1
2586,"Beauty and the Werewolf (Five Hundred Kingdoms, #6)","7,693",3.78,Mercedes Lackey,"99,",1
2587,With Dreams Only of You: The Legend of the Theodosia Sword,272,4.35,Kathryn Le Veque,"99,",1
2588,"Lost In Wyoming (Maitland Legacy, A Family Saga Book 1)",263,4.30,Vivian Sinclair,"99,",1
2589,Love After Pain,190,4.11,Torrie Robles,"99,",1
2590,How to Fall in Love,avg,really,Cecelia Ahern,"99,",1
2591,Transcending Darkness,"4,640",4.10,Airicka Phoenix,"99,",1
2592,"Monica (Corazón Salvaje, #2)",254,4.19,Caridad Bravo Adams,"99,",1
2593,"Boyfriend for Hire (West Side Romance, #2)",56,4.21,Gail Chianese,"99,",1
2594,"If Tomorrow Comes (Tracy Whitney, #1)","65,165",4.06,Sidney Sheldon,"99,",1
2595,The Silk Weaver's Daughter,140,3.76,Elizabeth Kales,"99,",1
2596,"Primal Instinct (Bodyguard, #2)",218,3.94,Tara Wyatt,"99,",1
2597,"Forbid Me (The Good Ol' Boys, #2)","7,504",4.03,M. Robinson,"99,",1
2598,"A Gentleman Undone (Blackshear Family, #2)","2,458",3.87,Cecilia Grant,"99,",1
2599,The Quirky Tale of April Hale,"3,504",4.10,Cathy Octo,"99,",1
2600,war/SONG,19,4.58,Armada West,"99,",1
2601,Playing a Player,"4,141",4.01,Ivy Smoak,"99,",1
2602,The Sexy Boss: Sedition (The Sexy Series),674,3.65,T.R. Bertrand,"99,",1
2603,A Unique Kind of Love: A Different Perspective [Excerpt],79,4.47,Jasmine  Rose,"99,",1
2604,The Cheating Wives Club: Women are dying to join,19,4.21,D.J. Jouett,"99,",1
2605,"Outrunning Angel (Stripped Bare, #1)",26,3.31,Shanda Haffly,"99,",1
2606,An Au Pair and a Millionaire,14,4.07,Eva Goldsby,"99,",1
2607,Exrated,"1,357",3.82,Stevie J. Cole,"99,",1
2608,"Race to My Heart (Race to My Heart, #1)",avg,it,Dorice Grey,"99,",1
2609,"The Journey of Elizabeth Ann Rose (Seasons of Love and War Saga, #3)",19,4.37,Brenda Ashworth Barry,"99,",1
2610,Bobby's Girl,74,4.58,Bernie Morris,"99,",1
2611,Calde notti d'oriente,avg,really,Mercy Molinari,"99,",1
2612,Sexiest Man Alive,387,4.02,M.  Clarke,"99,",1
2613,Last Summer (The Last Series Book 1),30,4.27,J.M. Paul,"99,",1
2614,Natural Disasters: A Love Story,16,4.44,Geraldine Cantrell,"99,",1
2615,Obsession,119,4.13,S.M.  Phillips,"99,",1
2616,Natale con Mr. Trouble,24,3.83,Aura Conte,"99,",1
2617,"Breaking Lucas (The Beautifully Broken, #2)",142,4.03,Amanda Kaitlyn,"99,",1
2618,"Savage (Savage King, #1)","1,740",4.05,Michelle St. James,"99,",1
2619,Unbridled Passion,7,4.29,Diana  Thompson,"99,",1
2620,"Moody (Fighting Blind, #2)",795,4.14,C.M. Seabrook,"99,",1
2621,King's Captive,"1,009",3.84,Amber A. Bardan,"99,",1
2622,"A Reason To Stay (Blackwood Series, #1)",987,4.06,Melissa Ellen,"99,",1
2623,"When Danger Bites (Bravo Team WOLF, #1)",423,4.11,Heather Long,"99,",1
2624,Playing for Keeps (Game Time #2),250,3.83,Alix Nichols,"99,",1
2625,"Purple Orchids (The Mitchell Sisters, #1)","13,002",4.26,Samantha Christy,"99,",1
2626,Sweet Carolina Morning,143,4.31,Susan Schild,"99,",1
2627,Fifteen Minutes of Shame,989,3.66,Lisa Daily,"99,",1
2628,"Attraction (Elements of Chemistry, #1; Hypothesis, #1.1)","23,313",3.94,Penny Reid,"99,",1
2629,"One To Watch Me (The ONE Series, Part 1, Book 1)",43,4.26,Alicia  Maxwell,"99,",1
2630,Black Mirrors of the Soul (A Throne of Souls #2),4,4.75,Charles W. McDonald Jr.,"99,",1
2631,"When Morning Comes (Silhouette Special Editions, #143)",9,3.33,Laurey Bright,"99,",1
2632,His Viking Bride,107,3.96,Olivia Norem,"99,",1
2633,Tokyo Hearts,62,3.47,Renae Lucas-Hall,"99,",1
2634,Wicked Wicked Passage,10,4.30,Olivia Norem,"99,",1
2635,The Memory Shop,"4,014",4.26,Ella Griffin,"99,",1
2636,"On a Highland Shore (Highland, #1)","2,959",3.78,Kathleen Givens,"99,",1
2637,Noches de neón,39,4.56,Scarlett de Pablo,"99,",1
2638,"The Tribulations of August Barton (August Barton, #1)",242,4.24,Jennifer      LeBlanc,"99,",1
2639,Es un soplo la vida,avg,it,Vicente Escribano Montaner,"99,",1
2640,Midnight Bayou,"33,617",3.99,Nora Roberts,"99,",1
2641,Before We Ever Spoke,115,4.07,Dan Largent,"99,",1
2642,Passionate-Starred Lovers,3,3.67,Courtney Asunmaa,"99,",1
2643,"Saving the CEO (49th Floor, #1)","2,489",3.80,Jenny Holiday,"99,",1
2644,"Twisted (Dark Protectors, #5.5)","4,698",4.19,Rebecca Zanetti,"99,",1
2645,Beautiful Dangerous,952,4.06,Penny Dee,"99,",1
2646,The Proverbial Mr. Universe,84,3.65,Maria La Serra,"99,",1
2647,The Rushes,6,3.67,Richard Natale,"99,",1
2648,If the Shoe Fits (Almost Royal #1),162,3.96,Rachel Lacey,"99,",1
2649,"The One You Can't Forget (The Ones Who Got Away, #2)","3,235",4.04,Roni Loren,"99,",1
2650,"Perfect Dissonance (Pounding Skin, #1)",18,4.06,L.M. Kennedy,"99,",1
2651,Miv and the Goddess of wishes,avg,it,Jacob L. White,"99,",1
2652,"Zero Tolerance (Lost Kings MC, #12)","1,840",4.58,Autumn Jones Lake,"99,",1
2653,Noah: True Love Never Dies,5,4.80,Carol Denise Mitchell,"99,",1
2654,"Condemned & Admired - The Earl's Cunning Wife (Love's Second Chance Series: Damsesls and Knights, #3)",883,4.24,Bree Wolf,"99,",1
2655,A Girl Like You,"14,913",3.95,Gemma Burgess,"99,",1
2656,"Lord of the Wilderness (Duke of Rutland, #4)",76,4.09,Elizabeth St. Michel,"99,",1
2657,Plant Hope - Harvest Love,avg,it,R.H. Krämer,"99,",1
2658,As the Light Fades,202,4.35,Catherine   West,"99,",1
2659,Racing Moon,139,4.12,Cassie Edwards,"99,",1
2660,"Fixing Justice (Justice Brothers, #2)","1,344",4.22,Suzanne Halliday,"99,",1
2661,Ο αρχισιδηρουργός,402,3.91,Georges Ohnet,"99,",1
2662,College Love,2,3.50,L.J. Jade,"99,",1
2663,"The Magicians' Guild (Black Magician Trilogy, #1)","80,331",3.95,Trudi Canavan,"99,",1
2664,The Husband Checklist,"2,331",3.96,Jasmin Miller,"99,",1
2665,Dare to Look (BFF #2),75,4.55,Kyra Fox,"99,",1
2666,Love in the Anthropocene,107,3.84,Dale Jamieson,"99,",1
2667,Law & Disorder,130,3.99,Liv Arnold,"99,",1
2668,Flame (Dark Kings #17),"1,149",4.49,Donna Grant,"99,",1
2669,"Written in Blood (The Unnatural Brethren, #1)",39,4.59,Silvana G. Sánchez,"99,",1
2670,Pastels and Jingle Bells (Heavenly Bites #1),"1,127",3.94,Christine S. Feldman,"99,",1
2671,The Mentor: a love story,92,4.09,Shobana Mahadevan,"99,",1
2672,"Reckless Cruel Heirs (The Lost Clan, #5)",493,4.47,Olivia Wildenstein,"99,",1
2673,Her Viking Heart,11,4.09,Heidi Herman,"99,",1
2674,Enchanted,17,3.82,Rosaline Morgan,"99,",1
2675,The Last Servant of Braebyrn: A Contemporary Romance,4,4.25,P. Ely,"99,",1
2676,The Forgotten Treasure of Luke,avg,it,Spring Dalton,"99,",1
2677,Dead by Text,avg,it,Natasha Lukin,"99,",1
2678,Once Upon a Time in the 60's,3,4.67,David   Ammons,"99,",1
2679,Twice Bitten (New Moon #1),"3,655",4.23,Belle Harper,"99,",1
2680,"Rowena's Key (The Golden Key Chronicles, #1)",394,3.88,A.J. Nuest,"99,",1
2681,Make It Out Alive: The medieval light fantasy romance full of dangerous adventures,6,4.83,Emma  Ellis,"99,",1
2682,Wrecking Ball,8,4.88,Francine Beaton,"99,",1
2683,"Paladin's Grace (The Saint of Steel, #1)","10,323",4.19,T. Kingfisher,"99,",1
2684,Dire Consequences: A Kelly Murdoch Adventure (Kelly Murdoch Aventures Book 1),13,4.38,Dianne Beeson,"99,",1
2685,Mr. Black (Black Stone #1),29,4.76,Nancy  Brown,"99,",1
2686,Lessons on Seduction,34,4.82,Estelle Pettersen,"99,",1
2687,Bewitched,129,4.58,Ruchi Singh,"99,",1
2688,Quarantined (Quarantine #1),"1,533",3.88,Drethi Anis,"99,",1
2689,Dessa: Silence in Bloodlust,7,4.14,Andreya Lombardi,"99,",1
2690,The Mermaid and the Bear,175,4.21,Ailish Sinclair,"99,",1
2691,The Power of Us (Us Duology Book 1),44,4.41,Skylar Shoar,"99,",1
2692,Rider,108,3.77,Peter J. Merrigan,"99,",1
2693,Never Among Equals: A WWI Novel,122,4.37,Fazle Chowdhury,"99,",1
2694,LOVING YOU WAS A CRIME,avg,it,HollyMolly_Ke,"99,",1
2695,Innocent Smile,6,3.50,Missi Angel,"99,",1
2696,The Last Lyric,5,4.40,Jane S. Lake,"99,",1
2697,"Dr. Grant (Off-Limits, #2)","5,020",3.92,Catharina Maura,"99,",1
2698,"The Reluctant Duke's Dilemma (The Hope Clinic, #1)",797,4.37,Trisha Messmer,"99,",1
2699,Bajo las estrellas,avg,really,Jenn Bennett,"99,",1
2700,In Paris... (Undertakers Inc. #2),28,4.64,J.C. Compton,"99,",1
2701,Blood Stained Roses,92,4.55,Tatum James,"99,",1
2702,"See Beneath Your Beautiful (See Beneath, #1)",33,4.33,Eunice Nascimento,"99,",1
2703,Back Home to You (Hope Valley #2),23,3.91,Maggie Wild,"99,",1
2704,"Lethal Justice (Secrets and the City, #3)",438,4.23,Kathy Lockheart,"99,",1
